,pct,alg,compaIze,data,nClusters,nComponents,redenCl,gamma,gammaScale,maxNMI,avgNMI,stdNMI,avgPMI,stdPMI,maxF1,avgF1,stdF1,maxCA,avgCA,stdCA,maxARI,avgARI,stdARI
1947,36.89,KSVD,pca,wiki,1000,1000,sweep,3.0175504109632324e-07,0.0001,0.3146078250732206,0.3088372747528024,0.004829845954017564,3.5611813390585327,0.1680979216557777,0.2013038799924046,0.12586689766218495,0.047177672779994496,0.04862235843933015,0.03061896146754716,0.011011430117172634,0.005406353296656987,0.0020619414415419856,0.0017060932529442425
1948,36.91,KSVD,pca,wiki,doc,17,sweep,3.0175504109632324e-07,0.0001,0.41270511586171243,0.40715508612776113,0.0029199655159259374,4.431427084018167,0.06637634808117684,0.0242963356346256,0.021692661064893332,0.001586101146923537,0.005190932645175573,0.004591204541287737,0.00023804268895199717,0.005714375394869109,0.0051287514150132035,0.0003063072378722873
1949,36.93,KSVD,pca,wiki,term,23,sweep,3.0175504109632324e-07,0.0001,0.4055982135610685,0.40367253276641135,0.0013334999131112701,4.601432741908961,0.04364576122780186,0.030065141139134794,0.025444645383560262,0.0024301987587999124,0.0055001885284747185,0.005020565170315587,0.0002710203529532473,0.005822191581444683,0.005323554774247377,0.00029351818838390634
1950,36.95,KSVD,pca,wiki,1000,1000,sweep,3.0175504109632328e-06,0.001,0.30480003720262283,0.30089710166759026,0.002192742189470828,3.611724683645959,0.1728156054791137,0.11873224117433794,0.08671613845331004,0.015016826391116914,0.028175148141870273,0.02061045174189933,0.003689386972944818,0.004536042523887747,0.0016676012197934143,0.0013593043689612944
1951,36.97,KSVD,pca,wiki,doc,17,sweep,3.0175504109632328e-06,0.001,0.4094661421692569,0.40677468520890725,0.0023182409783462157,4.413037655192874,0.04746793669400354,0.025985713482198098,0.0220510482321858,0.0016558199169884873,0.00549292412853145,0.004689066386237768,0.0003316997636159951,0.00556361060013406,0.005075691588856035,0.0002478319904181909
1952,36.99,KSVD,pca,wiki,term,23,sweep,3.0175504109632328e-06,0.001,0.40711266057960793,0.40348850908486494,0.0017003627343581778,4.559483481721096,0.047276499404674786,0.0299281964641284,0.024415184220447406,0.002672032849097581,0.005713623517284083,0.0048719908952854045,0.00041968562017517406,0.005696899898797011,0.005222282274340041,0.00026850851466066124
1953,37.01,KSVD,pca,wiki,1000,1000,sweep,3.0175504109632325e-05,0.01,0.3089919895840793,0.30531975296045283,0.0034463960050436504,3.5794262642463304,0.24141814322920316,0.15177879022877083,0.10033314913744151,0.024274917828341482,0.036969915006520665,0.025600264285788415,0.005687623960382042,0.004793314226400548,0.0016243751030166856,0.0015104518748013938
1954,37.03,KSVD,pca,wiki,doc,17,sweep,3.0175504109632325e-05,0.01,0.4099183210648289,0.40657507540047255,0.001549654112551451,4.429496380379267,0.04150548980091148,0.02741402521111247,0.023178640369227194,0.003007153872457112,0.005448299957451372,0.004811800152898322,0.0003928897156411377,0.0057597661146497,0.005083855054050275,0.0002915921444164127
1955,37.05,KSVD,pca,wiki,term,23,sweep,3.0175504109632325e-05,0.01,0.4068551900113463,0.4026237835186076,0.002635991647731554,4.624585796921331,0.0360689840013631,0.02970992672889692,0.02515918385564688,0.0022370055747517248,0.006106592961834226,0.004969472224047931,0.0004678640089195053,0.005581358080597023,0.0051683367111729495,0.0002648166121316217
1956,37.06,KSVD,pca,wiki,1000,1000,sweep,0.0003017550410963233,0.1,0.3115873971177283,0.3052105992576508,0.0034765340039541923,3.5961808200410834,0.16695443452351236,0.15255516315011017,0.09994751305311705,0.02979946654618996,0.03731514696572933,0.025339022626876206,0.006951896056764943,0.00485109812585127,0.001953404466919983,0.0015992314328012237
