,pct,alg,data,nClusters,nComponents,redenCl,gamma,avgNMI,stdNMI,avgPMI,stdPMI,avgF1,stdF1,avgCA,stdCA,avgARI
608,18.1,KPCA,ACM,512,18,sweep,38.40749154252516,0.11073215869412574,0.002368882245399762,10.511863342126592,0.1439296286113715,0.07448673022048906,0.005866945438092888,0.036665289256198344,0.0007062560152586378,0.011353029375943872
609,18.2,KPCA,ACM,1024,1000,sweep,3.840749154252516e-05,0.15983585593243377,0.01011769046326417,14.608922716004443,0.19589395885918023,0.30517020905903663,0.1158851445588836,0.2112521535703354,0.0012547605500267808,0.0016832731613608556
610,18.2,KPCA,ACM,1024,3,sweep,3.840749154252516e-05,0.19329107085628597,0.000942760730661404,19.28488655323319,0.07244160563123424,0.006418618870086294,0.00032993896173835003,0.005168765577856486,2.2642398546352002e-05,0.0017802041043425798
611,18.2,KPCA,ACM,1024,18,sweep,3.840749154252516e-05,0.19053313176824613,0.0014530710724512312,16.838337161324596,0.07238656167875793,0.007577599562335881,0.0003327917626284545,0.0059151908697363245,5.788899369799015e-05,0.0019906796362756
612,18.2,KPCA,ACM,1024,1000,sweep,0.0003840749154252516,0.156331742521844,0.010731054940796066,14.66637333214629,0.1305773630817298,0.2638977055678827,0.11786010301912679,0.18555892255892256,0.0017276662957687015,0.0018208867306786698
613,18.3,KPCA,ACM,1024,3,sweep,0.0003840749154252516,0.19449791492159768,0.001120830022740148,19.67646561186664,0.117135324072647,0.006322637797414737,0.0005230369066080367,0.005077812759630941,2.7771376176815737e-05,0.0018016429189880838
614,18.3,KPCA,ACM,1024,18,sweep,0.0003840749154252516,0.19060597219096814,0.002368378740044215,16.95159995408255,0.07775348828171201,0.007603268911330424,0.0003955844047002952,0.005964252918798373,4.576670547110056e-05,0.0019945940274294508
615,18.3,KPCA,ACM,1024,1000,sweep,0.003840749154252516,0.16346372752587324,0.008542844295607754,14.706904066651067,0.12548068677672775,0.3470532505816733,0.10303615812091893,0.23495437054527962,0.0014236196806569556,0.0012732319428757628
616,18.4,KPCA,ACM,1024,3,sweep,0.003840749154252516,0.1945853435809904,0.0008087340989497119,21.24933194017256,0.17149270576523065,0.006714652337524979,0.0005034721795828029,0.0053255717346626435,2.8712827347649435e-05,0.0018211463465653132
617,18.4,KPCA,ACM,1024,18,sweep,0.003840749154252516,0.19340499787268844,0.0019701333445657915,18.52653954214154,0.07329649996846918,0.007528004072119723,0.0007487418840646169,0.005845183436092527,4.388041287157924e-05,0.002002863946671657
